YEAR,MONTH,DAY,Date,TIME_PST,TIME_FLAG,SURF_SAL_PSU,SURF_FLAG,BOT_SAL_PSU,BOT_FLAG,Week_Day,End_of_Week,MeanSurfSal,MinSurfSal,MaxSurfSal,MeanBotSal,MinBotSal,MaxBotSal
1916,8,23,1916-08-23,NaN,NaN,33.57,0,NaN,0,3,1916-08-23,33.56,33.51,33.6,NaN,NaN,NaN
1916,8,28,1916-08-28,NaN,NaN,33.54,0,NaN,0,1,1916-08-30,33.50333333333333,33.44,33.54,NaN,NaN,NaN
1916,9,4,1916-09-04,NaN,NaN,33.49,0,NaN,0,1,1916-09-06,33.443333333333335,32.98,33.57,NaN,NaN,NaN
1916,9,11,1916-09-11,NaN,NaN,33.77,0,NaN,0,1,1916-09-13,33.589999999999996,33.47,33.77,NaN,NaN,NaN
1916,9,18,1916-09-18,NaN,NaN,33.4,0,NaN,0,1,1916-09-20,33.49166666666667,33.4,33.54,NaN,NaN,NaN
1916,9,25,1916-09-25,NaN,NaN,33.69,0,NaN,0,1,1916-09-27,33.50833333333333,33.3,33.69,NaN,NaN,NaN
1916,10,3,1916-10-03,NaN,NaN,33.47,0,NaN,0,2,1916-10-04,33.444,33.37,33.51,NaN,NaN,NaN
1916,10,9,1916-10-09,NaN,NaN,34.3,0,NaN,0,1,1916-10-11,33.19833333333333,31.08,34.3,NaN,NaN,NaN
1916,10,16,1916-10-16,NaN,NaN,33.51,0,NaN,0,1,1916-10-18,33.47666666666667,33.44,33.54,NaN,NaN,NaN
1916,10,23,1916-10-23,NaN,NaN,33.6,0,NaN,0,1,1916-10-25,33.501666666666665,33.39,33.73,NaN,NaN,NaN
1916,10,29,1916-10-29,NaN,NaN,33.61,0,NaN,0,0,1916-11-01,33.47333333333333,33.4,33.61,NaN,NaN,NaN
1916,11,6,1916-11-06,NaN,NaN,34.06,0,NaN,0,1,1916-11-08,33.61,33.48,34.06,NaN,NaN,NaN
1916,11,13,1916-11-13,NaN,NaN,33.61,0,NaN,0,1,1916-11-15,33.57333333333333,33.5,33.61,NaN,NaN,NaN
1916,11,20,1916-11-20,NaN,NaN,33.78,0,NaN,0,1,1916-11-22,33.51833333333334,33.38,33.78,NaN,NaN,NaN
1916,11,27,1916-11-27,NaN,NaN,33.61,0,NaN,0,1,1916-11-29,33.528,33.34,33.61,NaN,NaN,NaN
1916,12,4,1916-12-04,NaN,NaN,33.57,0,NaN,0,1,1916-12-06,33.51,33.44,33.57,NaN,NaN,NaN
1916,12,11,1916-12-11,NaN,NaN,33.48,0,NaN,0,1,1916-12-13,33.50333333333333,33.48,33.57,NaN,NaN,NaN
1916,12,18,1916-12-18,NaN,NaN,33.53,0,NaN,0,1,1916-12-20,33.49,33.46,33.53,NaN,NaN,NaN
1916,12,26,1916-12-26,NaN,NaN,33.38,0,NaN,0,2,1916-12-27,33.38,33.13,33.49,NaN,NaN,NaN
1917,1,2,1917-01-02,NaN,NaN,33.44,0,NaN,0,2,1917-01-03,33.362,33.03,33.49,NaN,NaN,NaN
1917,1,9,1917-01-09,NaN,NaN,33.39,0,NaN,0,2,1917-01-10,33.391999999999996,33.3,33.48,NaN,NaN,NaN
1917,1,16,1917-01-16,NaN,NaN,33.27,0,NaN,0,2,1917-01-17,33.215,33.1,33.3,NaN,NaN,NaN
1917,1,22,1917-01-22,NaN,NaN,33.27,0,NaN,0,1,1917-01-24,33.288333333333334,33.21,33.4,NaN,NaN,NaN
1917,1,28,1917-01-28,NaN,NaN,33.42,0,NaN,0,0,1917-01-31,33.354285714285716,33.3,33.44,NaN,NaN,NaN
1917,2,5,1917-02-05,NaN,NaN,33.54,0,NaN,0,1,1917-02-07,33.443333333333335,33.42,33.54,NaN,NaN,NaN
1917,2,11,1917-02-11,NaN,NaN,33.66,0,NaN,0,0,1917-02-14,33.565999999999995,33.49,33.66,NaN,NaN,NaN
1917,2,19,1917-02-19,NaN,NaN,33.57,0,NaN,0,1,1917-02-21,33.385,33.26,33.57,NaN,NaN,NaN
1917,2,26,1917-02-26,NaN,NaN,33.3,0,NaN,0,1,1917-02-28,33.385,33.3,33.48,NaN,NaN,NaN
1917,3,5,1917-03-05,NaN,NaN,33.38,0,NaN,0,1,1917-03-07,33.344,33.33,33.38,NaN,NaN,NaN
1917,3,13,1917-03-13,NaN,NaN,33.11,0,NaN,0,2,1917-03-14,33.3425,33.11,33.51,NaN,NaN,NaN
1917,3,18,1917-03-18,NaN,NaN,33.64,0,NaN,0,0,1917-03-21,33.559999999999995,33.48,33.67,NaN,NaN,NaN
1917,3,26,1917-03-26,NaN,NaN,33.58,0,NaN,0,1,1917-03-28,33.58833333333333,33.55,33.68,NaN,NaN,NaN
1917,4,2,1917-04-02,NaN,NaN,33.58,0,NaN,0,1,1917-04-04,33.58833333333333,33.53,33.66,NaN,NaN,NaN
1917,4,8,1917-04-08,NaN,NaN,33.61,0,NaN,0,0,1917-04-11,33.715714285714284,33.61,33.97,NaN,NaN,NaN
1917,4,17,1917-04-17,NaN,NaN,33.54,0,NaN,0,2,1917-04-18,33.58,33.54,33.69,NaN,NaN,NaN
1917,4,23,1917-04-23,NaN,NaN,33.51,0,NaN,0,1,1917-04-25,33.56,33.48,33.7,NaN,NaN,NaN
