YEAR,MONTH,DAY,Date,TIME_PST,TIME_FLAG,SURF_TEMP_C,SURF_FLAG,BOT_TEMP_C,BOT_FLAG,Week_Day,End_of_Week,MeanSurfTemp,MinSurfTemp,MaxSurfTemp,MeanBotTemp,MinBotTemp,MaxBotTemp
1916,8,22,1916-08-22,NaN,NaN,19.5,0,NaN,NaN,2,1916-08-23,19.66,19.5,19.9,NaN,NaN,NaN
1916,8,28,1916-08-28,NaN,NaN,20.1,0,NaN,NaN,1,1916-08-30,18.650000000000002,16.5,20.1,NaN,NaN,NaN
1916,9,4,1916-09-04,NaN,NaN,17.9,0,NaN,NaN,1,1916-09-06,18.650000000000002,17.9,19.5,NaN,NaN,NaN
1916,9,11,1916-09-11,NaN,NaN,18.4,0,NaN,NaN,1,1916-09-13,17.283333333333335,15.5,18.4,NaN,NaN,NaN
1916,9,18,1916-09-18,NaN,NaN,18.3,0,NaN,NaN,1,1916-09-20,18.466666666666665,18.3,18.7,NaN,NaN,NaN
1916,9,25,1916-09-25,NaN,NaN,18.7,0,NaN,NaN,1,1916-09-27,18.099999999999998,17.9,18.7,NaN,NaN,NaN
1916,10,3,1916-10-03,NaN,NaN,17.3,0,NaN,NaN,2,1916-10-04,16.46,15.5,17.3,NaN,NaN,NaN
1916,10,9,1916-10-09,NaN,NaN,16.5,0,NaN,NaN,1,1916-10-11,16.650000000000002,16.3,17.2,NaN,NaN,NaN
1916,10,16,1916-10-16,NaN,NaN,16.3,0,NaN,NaN,1,1916-10-18,15.583333333333334,14.5,16.4,NaN,NaN,NaN
1916,10,23,1916-10-23,NaN,NaN,14.5,0,NaN,NaN,1,1916-10-25,14.616666666666667,13.9,15.5,NaN,NaN,NaN
1916,10,29,1916-10-29,NaN,NaN,14.5,0,NaN,NaN,0,1916-11-01,14.883333333333333,14.1,15.4,NaN,NaN,NaN
1916,11,6,1916-11-06,NaN,NaN,14.5,0,NaN,NaN,1,1916-11-08,14.549999999999999,14.3,14.8,NaN,NaN,NaN
1916,11,13,1916-11-13,NaN,NaN,14.1,0,NaN,NaN,1,1916-11-15,13.583333333333334,12.9,14.1,NaN,NaN,NaN
1916,11,20,1916-11-20,NaN,NaN,13.9,0,NaN,NaN,1,1916-11-22,14.1,13.9,14.5,NaN,NaN,NaN
1916,11,27,1916-11-27,NaN,NaN,13.9,0,NaN,NaN,1,1916-11-29,14.02,13.5,14.5,NaN,NaN,NaN
1916,12,4,1916-12-04,NaN,NaN,14.9,0,NaN,NaN,1,1916-12-06,14.266666666666666,13.4,14.9,NaN,NaN,NaN
1916,12,11,1916-12-11,NaN,NaN,14.3,0,NaN,NaN,1,1916-12-13,13.299999999999999,12.9,14.3,NaN,NaN,NaN
1916,12,18,1916-12-18,NaN,NaN,13.3,0,NaN,NaN,1,1916-12-20,12.733333333333334,12.3,13.3,NaN,NaN,NaN
1916,12,26,1916-12-26,NaN,NaN,11.9,0,NaN,NaN,2,1916-12-27,11.48,11.1,11.9,NaN,NaN,NaN
1917,1,2,1917-01-02,NaN,NaN,11.5,0,NaN,NaN,2,1917-01-03,11.7,11.5,11.9,NaN,NaN,NaN
1917,1,9,1917-01-09,NaN,NaN,12.3,0,NaN,NaN,2,1917-01-10,12.2,12.1,12.3,NaN,NaN,NaN
1917,1,16,1917-01-16,NaN,NaN,11.3,0,NaN,NaN,2,1917-01-17,11.5,11.3,11.7,NaN,NaN,NaN
1917,1,22,1917-01-22,NaN,NaN,11.6,0,NaN,NaN,1,1917-01-24,11.85,11.6,12.3,NaN,NaN,NaN
1917,1,28,1917-01-28,NaN,NaN,11.9,0,NaN,NaN,0,1917-01-31,11.914285714285715,11.9,12,NaN,NaN,NaN
1917,2,5,1917-02-05,NaN,NaN,12.1,0,NaN,NaN,1,1917-02-07,12.316666666666668,11.9,12.7,NaN,NaN,NaN
1917,2,11,1917-02-11,NaN,NaN,12.1,0,NaN,NaN,0,1917-02-14,12.716666666666667,12.1,13.7,NaN,NaN,NaN
1917,2,19,1917-02-19,NaN,NaN,12.5,0,NaN,NaN,1,1917-02-21,13.040000000000001,12.5,13.9,NaN,NaN,NaN
1917,2,26,1917-02-26,NaN,NaN,13.9,0,NaN,NaN,1,1917-02-28,13.6,13.1,13.9,NaN,NaN,NaN
1917,3,5,1917-03-05,NaN,NaN,13.9,0,NaN,NaN,1,1917-03-07,13.74,13.3,14.1,NaN,NaN,NaN
1917,3,13,1917-03-13,NaN,NaN,13.1,0,NaN,NaN,2,1917-03-14,12.819999999999999,12.3,13.2,NaN,NaN,NaN
1917,3,18,1917-03-18,NaN,NaN,13.3,0,NaN,NaN,0,1917-03-21,13.142857142857142,12.6,13.9,NaN,NaN,NaN
1917,3,26,1917-03-26,NaN,NaN,13.7,0,NaN,NaN,1,1917-03-28,14.433333333333332,13.7,15.1,NaN,NaN,NaN
1917,4,2,1917-04-02,NaN,NaN,14.3,0,NaN,NaN,1,1917-04-04,14.799999999999999,14.3,15.3,NaN,NaN,NaN
1917,4,8,1917-04-08,NaN,NaN,15.7,0,NaN,NaN,0,1917-04-11,15.62857142857143,15.1,16.1,NaN,NaN,NaN
1917,4,17,1917-04-17,NaN,NaN,13.1,0,NaN,NaN,2,1917-04-18,13.66,13.1,14.3,NaN,NaN,NaN
1917,4,23,1917-04-23,NaN,NaN,14.9,0,NaN,NaN,1,1917-04-25,14.780000000000001,13.7,15.7,NaN,NaN,NaN
1917,4,30,1917-04-30,NaN,NaN,15.2,0,NaN,NaN,1,1917-05-02,15.450000000000001,14.7,16.1,NaN,NaN,NaN
1917,5,7,1917-05-07,NaN,NaN,17.3,0,NaN,NaN,1,1917-05-09,16.34,15.5,17.3,NaN,NaN,NaN
1917,5,15,1917-05-15,NaN,NaN,15.3,0,NaN,NaN,2,1917-05-16,15.5,13.9,16.5,NaN,NaN,NaN
1917,5,21,1917-05-21,NaN,NaN,17.3,0,NaN,NaN,1,1917-05-23,16.866666666666667,16.5,17.3,NaN,NaN,NaN
1917,5,28,1917-05-28,NaN,NaN,17.3,0,NaN,NaN,1,1917-05-30,17.26666666666667,17.1,17.3,NaN,NaN,NaN
