Site_Number,IslandCode,IslandName,SiteCode,SiteName,Year,Date,MeanTemp,MinTemp,MaxTemp,MeanDepth,SST34,Anom
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-09-15,14.918181818181818,12,17.4,43.27,26.9,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-09-22,14.685714285714285,11.9,16.7,43.27,27,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-09-29,14.568571428571428,12,16.4,43.27,27,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-10-06,14.134285714285713,12.4,16.4,43.27,26.9,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-10-13,15.54,13.9,17.5,43.27,27,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-10-20,15.365714285714285,13.1,17,43.27,26.6,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-10-27,16.060000000000002,13.4,18.2,43.27,27.1,0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-11-03,16.094285714285714,14.1,17.4,43.27,27.2,0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-11-10,15.1,13.1,17.4,43.27,26.9,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-11-17,14.634285714285715,12.8,15.8,43.27,26.9,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-11-24,14.82857142857143,13.6,15.8,43.27,26.7,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-12-01,14.182857142857141,12,15.8,43.27,26.9,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-12-08,13.82,12,15,43.27,26.9,0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-12-15,13.3,11.7,14.1,43.27,26.8,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-12-22,13.891428571428571,13,14.2,43.27,26.6,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1993,1993-12-29,13.783333333333333,13,14.4,43.27,26.5,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1993-12-29,13.219999999999999,12.7,13.6,43.27,26.5,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-01-05,13.271428571428572,10.8,14.4,43.27,26.7,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-01-12,13.317142857142859,11.9,14.2,43.27,26.7,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-01-19,13.874857142857143,13.4,14.2,43.27,26.5,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-01-26,13.674857142857142,12.66,14.51,43.27,26.5,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-02-02,13.549428571428573,12.66,13.76,43.27,26.6,0
