ReserveStatus,SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,MeanDensity_sqm,StandardError,StandardDeviation,TotalCount,QuadratsSampled,AreaSurveyed_sqm,MeanDepth,MPA_Date,MPA_TotalCount,MPA_Mean,MPA_SD,MPA_SE,MPA_Quads,MPA_AreaSurveyed
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,5002,Tethya aurantia,Orange Puffball Sponge,2005,2005-07-11,0.1611,0.017,0.0587,116,12,720,33.18,2005-07-25,635,0.294,0.154,0.0257,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,6001,Stylaster californicus,California Hydrocoral,2005,2005-07-11,0,0,0,0,12,720,33.18,2005-07-25,0,0,0,0,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,6002,Urticina lofotensis,White Spotted Rose Anemone,2005,2005-07-11,0.0236,0.0088,0.0305,17,12,720,33.18,2005-07-25,187,0.0866,0.0889,0.0148,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,6006,Lophogorgia chilensis,Red Gorgonian,2005,2005-07-11,0,0,0,0,12,720,33.18,2005-07-25,43,0.0199,0.0323,0.0054,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,6007,Muricea fruticosa,Brown Gorgonian,2005,2005-07-11,0,0,0,0,12,720,33.18,2005-07-25,0,0,0,0,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,6008,Muricea californica,California Golden Gorgonian,2005,2005-07-11,0,0,0,0,12,720,33.18,2005-07-25,0,0,0,0,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,8001,Panulirus interruptus,California Spiny Lobster,2005,2005-07-11,0,0,0,0,12,720,33.18,2005-07-25,0,0,0,0,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9002,Haliotis rufescens,Red Abalone,2005,2005-07-11,0.0125,0.0074,0.0257,9,12,720,33.18,2005-07-25,13,0.006,0.0165,0.0028,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9003,Haliotis corrugata,Pink Abalone,2005,2005-07-11,0,0,0,0,12,720,33.18,2005-07-25,0,0,0,0,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9004,Haliotis fulgens,Green Abalone,2005,2005-07-11,0,0,0,0,12,720,33.18,2005-07-25,0,0,0,0,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9006,Kelletia kelletii,Kellets Whelk,2005,2005-07-11,0.0042,0.0022,0.0075,3,12,720,33.18,2005-07-25,39,0.0181,0.0237,0.0039,36,2160
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9009,Megathura crenulata,Giant Keyhole Limpet,2005,2005-07-11,0.0014,0.0014,0.0048,1,12,720,33.18,2005-07-25,32,0.0148,0.0287,0.0048,36,2160
