SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,TotalCount,MeanDensity_sqm,StandardDeviation,StandardError,QuadratsSampled,AreaSurveyed_sqm,MeanDepth,IslandDate,Island_Mean_Density,IslandSD,IslandSE,IslandQuads,IslandAreaSurveyed,IslandTotalCount,SurveyType
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1983,1983-07-26,32,0.08,0.0654,0.0207,10,600,43.27,1983-07-27,0.0762,0.0666,0.0149,20,1200,61,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1983,1983-07-26,82,0.205,0.2108,0.0666,10,600,43.27,1983-07-27,0.1175,0.174,0.0389,20,1200,94,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6007,Muricea fruticosa,Brown Gorgonian,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,8001,Panulirus interruptus,California Spiny Lobster,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1983,1983-07-26,8,0.02,0.023,0.0073,10,600,43.27,1983-07-27,0.0138,0.0206,0.0046,20,1200,11,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9003,Haliotis corrugata,Pink Abalone,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9004,Haliotis fulgens,Green Abalone,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1983,1983-07-26,6,0.015,0.0337,0.0107,10,600,43.27,1983-07-27,0.0075,0.0245,0.0055,20,1200,6,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0,0,0,20,1200,0,Bands
