Species,ScientificName,CommonName,Protocol
1,'-----------1 m Quads----------,Quads-------,1m
14027,Alloclinus holderi,Island Kelpfish,1m
14026,Coryphopterus nicholsi,Blackeye Goby,1m
14025,Lythrypnus dalli,Blue-banded Goby,1m
12002,Styela montereyensis,Stalked Tunicate,1m
11009,Centrostephanus coronatus,Coronado Urchin,1m
11007,Parastichopus parvimensis,Warty Sea Cucumber,1m
11006,Strongylocentrotus purpuratus,Purple Urchin,1m
11005,Strongylocentrotus franciscanus,Red Urchin,1m
11001,Patiria miniata,Bat Star,1m
9014,Tegula regina,Queen Tegula,1m
9008,Lithopoma gibberosa,Red Turban Snail,1m
9007,Megastraea undosa,Wavy Turban Snail,1m
9005,Cypraea spadicea,Chestnut Cowrie,1m
2006.5,Laminaria farlowii,Oar Weed (Juvenile),1m
2006,Laminaria farlowii,Oar Weed (Adult),1m
2005.5,Pterygophora californica,California Sea Palm (Juvenile),1m
2005,Pterygophora californica,California Sea Palm (Adult),1m
2004.5,Eisenia arborea,Southern Sea Palm (Juvenile),1m
2004,Eisenia arborea,Southern Sea Palm (Adult),1m
2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),1m
2,-----------5 m Quads----------,Quads------,5m
2002.25,Macrocystis pyrifera,Giant Kelp (Adult),5m
2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),5m
2002.75,Macrocystis pyrifera,Giant Kelp (> 1 m tall),5m
2016,Sargassum horneri,Devil Weed (Adult),5m
2016.5,Sargassum horneri,Devil Weed (Juvenile),5m
2016.5,Sargassum horneri,Devil Weed (All),5m
11002,Pisaster giganteus,Giant-spined Sea Star,5m
11011,Pisaster ochraceus,Ochre Sea Star,5m
3,-----------Bands----------,Transects-----------,Band
5002,Tethya aurantia,Orange Puffball Sponge,Band
6001,Stylaster californicus,California Hydrocoral,Band
6002,Urticina lofotensis,White Spotted Rose Anemone,Band
6006,Lophogorgia chilensis,Red Gorgonian,Band
6007,Muricea fruticosa,Brown Gorgonian,Band
6008,Muricea californica,California Golden Gorgonian,Band
8001,Panulirus interruptus,California Spiny Lobster,Band
9002,Haliotis rufescens,Red Abalone,Band
9003,Haliotis corrugata,Pink Abalone,Band
9004,Haliotis fulgens,Green Abalone,Band
9006,Kelletia kelletii,Kellets Whelk,Band
9009,Megathura crenulata,Giant Keyhole Limpet,Band
9010,Crassedoma giganteum,Rock Scallop,Band
9011,Aplysia californica,California Brown Sea Hare,Band
11003,Pycnopodia helianthoides,Sunflower Star,Band
11004,Lytechinus anamesus,White Urchin,Band
11002,Pisaster giganteus,Giant Spined Star,Band
11011,Pisaster ochraceus,Ochre Star,Band
2016.5,Sargassum horneri,Devil Weed (Juvenile),Band
2009,Undaria pinnatifida,Wakame (Adult),Band
2009.5,Undaria pinnatifida,Wakame (Juvenile),Band
9012,Haliotis assimilis,Threaded Abalone,Band
9013,Haliotis sorenseni,White Abalone,Band
9015,Cryptochiton stelleri,Gumboot Chiton,Band
