ReserveStatus,SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,MeanDensity_sqm,StandardError,StandardDeviation,TotalCount,AreaSurveyed_sqm,MeanDepth,MPA_Date,MPA_TotalCount,MPA_Mean,MPA_SD,MPA_SE,MPA_AreaSurveyed_sqm
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2005,2005-07-11,0.5,0.0761,0.4815,100,200,33.18,2005-07-25,163,0.815,0.372,0.034,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2005,2005-07-11,0.275,0.0462,0.2924,55,200,33.18,2005-07-25,82,0.41,0.2487,0.0227,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2005,2005-07-11,0.145,0.0343,0.2171,29,200,33.18,2005-07-25,78,0.39,0.2285,0.0209,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2006,2006-08-07,0.41,0.0526,0.3327,82,200,33.18,2006-08-02,158,0.79,0.309,0.0282,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2006,2006-08-07,0.13,0.0456,0.2884,26,200,33.18,2006-08-02,330,1.65,0.7887,0.072,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2006,2006-08-07,0.12,0.0327,0.2066,24,200,33.18,2006-08-02,51,0.255,0.1713,0.0156,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2007,2007-09-24,0.67,0.0681,0.431,134,200,33.18,2007-08-22,285,1.425,0.4157,0.0379,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2007,2007-09-24,0.34,0.056,0.3543,68,200,33.18,2007-08-22,89,0.445,0.2663,0.0243,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2007,2007-09-24,0.125,0.0349,0.2204,25,200,33.18,2007-08-22,50,0.25,0.188,0.0172,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2008,2008-09-29,0.365,0.0474,0.3,73,200,33.18,2008-08-22,156,0.78,0.3019,0.0276,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2008,2008-09-29,0.485,0.0751,0.4748,97,200,33.18,2008-08-22,243,1.215,0.5071,0.0463,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2008,2008-09-29,0.15,0.0302,0.1908,30,200,33.18,2008-08-22,111,0.555,0.2462,0.0225,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2009,2009-07-13,0.385,0.0556,0.352,77,200,33.18,2009-07-31,147,0.735,0.2858,0.0261,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2009,2009-07-13,0.405,0.0846,0.5349,81,200,33.18,2009-07-31,198,0.99,0.4481,0.0409,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2009,2009-07-13,0.15,0.0434,0.2746,30,200,33.18,2009-07-31,66,0.33,0.2258,0.0206,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2010,2010-08-16,0.5,0.0595,0.3762,100,200,33.18,2010-08-09,173,0.865,0.3288,0.03,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2010,2010-08-16,0.015,0.0084,0.0533,3,200,33.18,2010-08-09,11,0.055,0.0635,0.0058,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2010,2010-08-16,0,0,0,0,200,33.18,2010-08-09,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2010,2010-08-16,0,0,0,0,200,33.18,2010-08-09,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2010,2010-08-16,0.135,0.0354,0.2237,27,200,33.18,2010-08-09,74,0.37,0.2109,0.0193,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2011,2011-08-16,0.42,0.0404,0.2554,84,200,33.18,2011-08-10,108,0.54,0.2452,0.0224,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2011,2011-08-16,0.415,0.0818,0.5172,83,200,33.18,2011-08-10,112,0.56,0.3543,0.0323,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2011,2011-08-16,0,0,0,0,200,33.18,2011-08-10,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2011,2011-08-16,0,0,0,0,200,33.18,2011-08-10,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2011,2011-08-16,0.17,0.0415,0.2623,34,200,33.18,2011-08-10,83,0.415,0.2359,0.0215,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2012,2012-08-28,0.49,0.0554,0.3507,98,200,33.18,2012-07-17,130,0.65,0.3074,0.0281,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2012,2012-08-28,0.44,0.0617,0.3901,88,200,33.18,2012-07-17,150,0.75,0.3251,0.0297,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2012,2012-08-28,0,0,0,0,200,33.18,2012-07-17,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2012,2012-08-28,0,0,0,0,200,33.18,2012-07-17,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2012,2012-08-28,0.145,0.0464,0.2935,29,200,33.18,2012-07-17,74,0.37,0.2307,0.0211,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11011,Pisaster ochraceus,Ochre Sea Star,2012,2012-08-28,0,0,0,0,200,33.18,2012-07-17,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2013,2013-08-13,0.46,0.0527,0.3334,92,200,33.18,2013-08-04,159,0.795,0.2958,0.027,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2013,2013-08-13,0.095,0.0268,0.1694,19,200,33.18,2013-08-04,19,0.095,0.1069,0.0098,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2013,2013-08-13,0,0,0,0,200,33.18,2013-08-04,0,0,0,0,600
