SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,TotalCount,MeanDensity_sqm,StandardDeviation,StandardError,AreaSurveyed_sqm,MeanDepth,IslandDate,Island_Mean_Density,IslandSD,IslandSE,IslandAreaSurveyed,IslandTotalCount,SurveyType,IslandQuads,QuadratsSampled
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),1996,1996-07-22,44,0.22,0.2431,0.0384,200,43.27,1996-07-29,0.11,0.2035,0.0228,400,44,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),1996,1996-07-22,81,0.405,0.4717,0.0746,200,43.27,1996-07-29,0.2025,0.3891,0.0435,400,81,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1996,1996-07-22,3,0.015,0.0533,0.0084,200,43.27,1996-07-29,0.2175,0.4603,0.0515,400,87,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),1997,1997-07-07,53,0.265,0.2914,0.0461,200,43.27,1997-07-07,0.1325,0.2443,0.0273,400,53,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),1997,1997-07-07,169,0.845,0.8527,0.1348,200,43.27,1997-07-07,0.4225,0.7347,0.0821,400,169,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1997,1997-07-07,8,0.04,0.1215,0.0192,200,43.27,1997-07-07,0.205,0.3101,0.0347,400,82,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),1998,1998-07-06,22,0.11,0.1972,0.0312,200,43.27,1998-08-10,0.055,0.1492,0.0167,400,22,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),1998,1998-07-06,21,0.105,0.2438,0.0386,200,43.27,1998-08-10,0.0525,0.1793,0.02,400,21,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1998,1998-07-06,6,0.03,0.0853,0.0135,200,43.27,1998-08-10,0.09,0.1383,0.0155,400,36,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),1999,1999-06-28,40,0.2,0.2397,0.0379,200,43.27,1999-06-28,0.1,0.1962,0.0219,400,40,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),1999,1999-06-28,48,0.24,0.3334,0.0527,200,43.27,1999-06-28,0.12,0.2636,0.0295,400,48,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1999,1999-06-28,9,0.045,0.1395,0.0221,200,43.27,1999-06-28,0.1775,0.2774,0.031,400,71,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2000,2000-06-26,1,0.005,0.0316,0.005,200,43.27,2000-06-26,0.0025,0.0224,0.0025,400,1,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2000,2000-06-26,18,0.09,0.1355,0.0214,200,43.27,2000-06-26,0.045,0.1054,0.0118,400,18,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2000,2000-06-26,9,0.045,0.1154,0.0182,200,43.27,2000-06-26,0.275,0.5423,0.0606,400,110,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2001,2001-07-16,16,0.08,0.1964,0.0311,200,43.27,2001-08-06,0.0583,0.1543,0.0141,600,35,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2001,2001-07-16,23,0.115,0.202,0.0319,200,43.27,2001-08-06,0.05,0.1402,0.0128,600,30,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2001,2001-07-16,14,0.07,0.1324,0.0209,200,43.27,2001-08-06,0.3183,0.4487,0.041,600,191,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2002,2002-07-22,33,0.165,0.2597,0.0411,200,43.27,2002-07-15,0.0825,0.2005,0.0224,400,33,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2002,2002-07-22,105,0.525,0.4892,0.0774,200,43.27,2002-07-15,0.265,0.4326,0.0484,400,106,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2002,2002-07-22,12,0.06,0.1215,0.0192,200,43.27,2002-07-15,0.41,0.6817,0.0762,400,164,Five_Meter,NA,NA
