IslandCode,IslandName,Species,ScientificName,CommonName,SurveyYear,MeanSize,TotalCount,StandardError,StandardDeviation
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1985,157.5385,13,9,31.6191
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1985,102.6111,36,2,13.6806
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1985,61.9667,30,1,6.1839
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,1985,81.0323,31,5,27.9111
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1985,59.8286,70,1,11.4449
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1985,54.2588,228,1,19.7774
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1985,25.8075,213,1,11.9221
SM,San Miguel Island,11007,Parastichopus parvimensis,Warty Sea Cucumber,1985,180.3175,63,5,37.1122
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1986,44.537,54,2,13.9591
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1986,132.2917,24,12,56.5874
SM,San Miguel Island,9005,Cypraea spadicea,Chestnut Cowrie,1986,45.2812,32,1,4.6158
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1986,91.65,40,3,16.9578
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1986,61.6333,30,1,6.4192
SM,San Miguel Island,9009,Megathura crenulata,Giant Keyhole Limpet,1986,55.1333,15,6,22.909300000000002
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,1986,61,31,5,26.1865
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1986,56.4653,101,1,12.0205
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1986,100.9,60,5,38.5265
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1986,51.475,200,1,19.9063
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1986,31.7021,235,1,11.576
SM,San Miguel Island,11007,Parastichopus parvimensis,Warty Sea Cucumber,1986,173.75,60,6,44.9959
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1987,52.8209,67,3,20.5632
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1987,150.4444,18,7,29.6355
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1987,92.8095,42,3,16.5341
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1987,53.85,40,2,13.0983
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,1987,86.1935,31,6,33.8599
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1987,59.4904,104,1,14.6546
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1987,75.0308,65,3,23.6379
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1987,152,30,13,70.4043
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1987,52.6111,198,1,18.605
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1987,28.5587,179,1,12.2942
SM,San Miguel Island,11007,Parastichopus parvimensis,Warty Sea Cucumber,1987,163.5385,65,6,49.7629
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1988,56.2698,63,3,20.4192
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1988,118.8696,69,6,52.8026
SM,San Miguel Island,9005,Cypraea spadicea,Chestnut Cowrie,1988,45.0556,36,1,6.0566
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1988,74.2667,30,2,13.5874
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1988,63.5833,12,3,9.83
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1988,53.9231,104,2,15.5237
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1988,68.127,63,4,27.9893
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1988,63.2512,207,1,19.8862
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1988,34.8223,242,1,9.8742
