SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,MeanSize,TotalCount,StandardError,StandardDeviation,IslandDate,IslandTotalCount,Island_Mean,IslandSD,IslandSE,MeanDepth
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1985,1985-06-26,157.53846153846155,13,8.4255285400312,30.378675173967736,1985-06-26,13,157.53846153846155,30.378675173967736,8.4255285400312,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1985,1985-06-26,102.61111111111111,36,2.2482084011695096,13.489250407017058,1985-06-26,36,102.61111111111111,13.489250407017058,2.2482084011695096,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1985,1985-06-26,61.96666666666667,30,1.1100383710418236,6.0799305551589615,1985-06-26,30,61.96666666666667,6.0799305551589615,1.1100383710418236,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1985,1985-06-26,77.16666666666667,6,12.282364653497368,30.085526235864464,1985-06-25,31,81.03225806451613,27.3918950417545,5.403520026226897,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1985,1985-06-26,59.075,40,1.7977025268380749,11.369669080496582,1985-06-25,70,59.82857142857143,11.329444360771165,1.3589353763674183,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1985,1985-06-26,60.7787610619469,113,1.9695677694392808,20.936792577202095,1985-06-25,228,54.25877192982456,18.645581291022637,1.38657296108317,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1985,1985-06-26,30.943396226415093,106,1.1884418892013229,12.235758135272674,1985-06-25,213,25.8075117370892,10.739608835780025,0.8383803330469208,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11007,Parastichopus parvimensis,Warty Sea Cucumber,1985,1985-06-26,166.875,32,4.870139804846469,27.549671050667737,1985-06-25,63,180.31746031746033,34.189559974716275,3.470932300081065,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1986,1986-06-09,43.86486486486486,37,2.2834758027301274,13.889841051689467,1986-06-17,54,44.53703703703704,13.793667578467494,1.8901679547223367,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1986,1986-06-09,153.14285714285714,14,10.02489612285596,37.50972662972545,1986-06-20,24,132.29166666666666,49.598645094781524,7.6566408861761275,43.27
