ReserveStatus,SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,MeanDensity_sqm,StandardError,StandardDeviation,TotalCount,QuadratsSampled,AreaSurveyed_sqm,MeanDepth,MPA_Date,MPA_TotalCount,MPA_Mean,MPA_SD,MPA_SE,MPA_Quads,MPA_AreaSurveyed
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002,Macrocystis pyrifera,Giant Kelp (Adult),2005,2005-07-11,1.1667,0.233,0.8072,28,12,24,33.18,2005-07-25,40,0.5556,0.7817,0.1303,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),2005,2005-07-11,3.0417,1.6137,5.59,73,12,24,33.18,2005-07-25,143,1.9861,4.0576,0.6763,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004,Eisenia arborea,Southern Sea Palm (Adult),2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,3,0.0417,0.1402,0.0234,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004.5,Eisenia arborea,Southern Sea Palm (Juvenile),2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Pterygophora californica,California Sea Palm (Adult),2005,2005-07-11,0.2917,0.179,0.6201,7,12,24,33.18,2005-07-25,21,0.2917,0.5654,0.0942,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005.5,Pterygophora californica,California Sea Palm (Juvenile),2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,10,0.1389,0.4871,0.0812,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Laminaria farlowii,Oar Weed (Adult),2005,2005-07-11,0.0417,0.0417,0.1443,1,12,24,33.18,2005-07-25,8,0.1111,0.3187,0.0531,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006.5,Laminaria farlowii,Oar Weed (Juvenile),2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,3,0.0417,0.1842,0.0307,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9005,Cypraea spadicea,Chestnut Cowrie,2005,2005-07-11,0.25,0.1151,0.3989,6,12,24,33.18,2005-07-25,13,0.1806,0.4335,0.0722,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9007,Megastraea undosa,Wavy Turban Snail,2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9008,Lithopoma gibberosa,Red Turban Snail,2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11001,Patiria miniata,Bat Star,2005,2005-07-11,0.375,0.0653,0.2261,9,12,24,33.18,2005-07-25,121,1.6806,1.6611,0.2769,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2005,2005-07-11,0.0833,0.0562,0.1946,2,12,24,33.18,2005-07-25,7,0.0972,0.2336,0.0389,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11005,Strongylocentrotus franciscanus,Red Urchin,2005,2005-07-11,0.625,0.3434,1.1894,15,12,24,33.18,2005-07-25,26,0.3611,0.8993,0.1499,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11006,Strongylocentrotus purpuratus,Purple Urchin,2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,16,0.2222,0.7314,0.1219,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11007,Parastichopus parvimensis,Warty Sea Cucumber,2005,2005-07-11,0.1667,0.094,0.3257,4,12,24,33.18,2005-07-25,8,0.1111,0.2423,0.0404,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11009,Centrostephanus coronatus,Coronado Urchin,2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,12002,Styela montereyensis,Stalked Tunicate,2005,2005-07-11,5.875,0.7812,2.7063,141,12,24,33.18,2005-07-25,170,2.3611,3.0157,0.5026,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14025,Lythrypnus dalli,Blue-banded Goby,2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14026,Coryphopterus nicholsi,Blackeye Goby,2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,9,0.125,0.3246,0.0541,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14027,Alloclinus holderi,Island Kelpfish,2005,2005-07-11,0,0,0,0,12,24,33.18,2005-07-25,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002,Macrocystis pyrifera,Giant Kelp (Adult),2006,2006-08-07,0.625,0.1754,0.6077,15,12,24,33.18,2006-08-02,79,1.0972,1.553,0.2588,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),2006,2006-08-07,3.7917,0.9013,3.1222,91,12,24,33.18,2006-08-02,633,8.7917,10.2018,1.7003,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004,Eisenia arborea,Southern Sea Palm (Adult),2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,3,0.0417,0.1842,0.0307,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004.5,Eisenia arborea,Southern Sea Palm (Juvenile),2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Pterygophora californica,California Sea Palm (Adult),2006,2006-08-07,0.2083,0.1438,0.4981,5,12,24,33.18,2006-08-02,41,0.5694,0.9721,0.162,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005.5,Pterygophora californica,California Sea Palm (Juvenile),2006,2006-08-07,0.2917,0.1681,0.5823,7,12,24,33.18,2006-08-02,155,2.1528,5.4206,0.9034,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Laminaria farlowii,Oar Weed (Adult),2006,2006-08-07,0.125,0.0653,0.2261,3,12,24,33.18,2006-08-02,17,0.2361,0.4389,0.0732,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006.5,Laminaria farlowii,Oar Weed (Juvenile),2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,11,0.1528,0.3931,0.0655,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9005,Cypraea spadicea,Chestnut Cowrie,2006,2006-08-07,0.7917,0.2981,1.0326,19,12,24,33.18,2006-08-02,28,0.3889,0.6878,0.1146,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9007,Megastraea undosa,Wavy Turban Snail,2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9008,Lithopoma gibberosa,Red Turban Snail,2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9014,Tegula regina,Queen Tegula,2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11001,Patiria miniata,Bat Star,2006,2006-08-07,0.375,0.0897,0.3108,9,12,24,33.18,2006-08-02,122,1.6944,1.7041,0.284,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2006,2006-08-07,0.1667,0.1124,0.3892,4,12,24,33.18,2006-08-02,9,0.125,0.3018,0.0503,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11005,Strongylocentrotus franciscanus,Red Urchin,2006,2006-08-07,1.8333,1.186,4.1084,44,12,24,33.18,2006-08-02,83,1.1528,2.8481,0.4747,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11006,Strongylocentrotus purpuratus,Purple Urchin,2006,2006-08-07,0.6667,0.4578,1.5859,16,12,24,33.18,2006-08-02,37,0.5139,1.1861,0.1977,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11007,Parastichopus parvimensis,Warty Sea Cucumber,2006,2006-08-07,0.0833,0.0562,0.1946,2,12,24,33.18,2006-08-02,9,0.125,0.3018,0.0503,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11009,Centrostephanus coronatus,Coronado Urchin,2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,12002,Styela montereyensis,Stalked Tunicate,2006,2006-08-07,3.5833,0.839,2.9064,86,12,24,33.18,2006-08-02,112,1.5556,2.2417,0.3736,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14025,Lythrypnus dalli,Blue-banded Goby,2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14026,Coryphopterus nicholsi,Blackeye Goby,2006,2006-08-07,0.125,0.0897,0.3108,3,12,24,33.18,2006-08-02,12,0.1667,0.3964,0.0661,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14027,Alloclinus holderi,Island Kelpfish,2006,2006-08-07,0,0,0,0,12,24,33.18,2006-08-02,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002,Macrocystis pyrifera,Giant Kelp (Adult),2007,2007-09-24,1.1667,0.1978,0.6853,28,12,24,33.18,2007-08-22,48,0.6667,0.727,0.1212,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),2007,2007-09-24,3.7083,1.0009,3.4671,89,12,24,33.18,2007-08-22,573,7.9583,20.6551,3.4425,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004,Eisenia arborea,Southern Sea Palm (Adult),2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004.5,Eisenia arborea,Southern Sea Palm (Juvenile),2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Pterygophora californica,California Sea Palm (Adult),2007,2007-09-24,0.2917,0.1681,0.5823,7,12,24,33.18,2007-08-22,41,0.5694,1.2658,0.211,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005.5,Pterygophora californica,California Sea Palm (Juvenile),2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,120,1.6667,3.8895,0.6483,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Laminaria farlowii,Oar Weed (Adult),2007,2007-09-24,0.25,0.0973,0.3371,6,12,24,33.18,2007-08-22,10,0.1389,0.3297,0.055,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006.5,Laminaria farlowii,Oar Weed (Juvenile),2007,2007-09-24,0.0833,0.0562,0.1946,2,12,24,33.18,2007-08-22,7,0.0972,0.3121,0.052,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9005,Cypraea spadicea,Chestnut Cowrie,2007,2007-09-24,0.5,0.2683,0.9293,12,12,24,33.18,2007-08-22,19,0.2639,0.5914,0.0986,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9007,Megastraea undosa,Wavy Turban Snail,2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9008,Lithopoma gibberosa,Red Turban Snail,2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9014,Tegula regina,Queen Tegula,2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11001,Patiria miniata,Bat Star,2007,2007-09-24,0.7917,0.2172,0.7525,19,12,24,33.18,2007-08-22,172,2.3889,2.1913,0.3652,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2007,2007-09-24,0.0833,0.0562,0.1946,2,12,24,33.18,2007-08-22,8,0.1111,0.2423,0.0404,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11005,Strongylocentrotus franciscanus,Red Urchin,2007,2007-09-24,0.9583,0.7163,2.4814,23,12,24,33.18,2007-08-22,93,1.2917,2.5196,0.4199,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11006,Strongylocentrotus purpuratus,Purple Urchin,2007,2007-09-24,0.0833,0.0562,0.1946,2,12,24,33.18,2007-08-22,38,0.5278,1.1768,0.1961,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11007,Parastichopus parvimensis,Warty Sea Cucumber,2007,2007-09-24,0.25,0.1685,0.5839,6,12,24,33.18,2007-08-22,13,0.1806,0.3992,0.0665,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11009,Centrostephanus coronatus,Coronado Urchin,2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,12002,Styela montereyensis,Stalked Tunicate,2007,2007-09-24,6.2917,1.0792,3.7384,151,12,24,33.18,2007-08-22,177,2.4583,3.4875,0.5812,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14025,Lythrypnus dalli,Blue-banded Goby,2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14026,Coryphopterus nicholsi,Blackeye Goby,2007,2007-09-24,0.1667,0.0711,0.2462,4,12,24,33.18,2007-08-22,34,0.4722,0.8362,0.1394,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14027,Alloclinus holderi,Island Kelpfish,2007,2007-09-24,0,0,0,0,12,24,33.18,2007-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002,Macrocystis pyrifera,Giant Kelp (Adult),2008,2008-09-29,1.5,0.3844,1.3314,36,12,24,33.18,2008-08-22,57,0.7917,1.0581,0.1764,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),2008,2008-09-29,3.375,1.2015,4.1622,81,12,24,33.18,2008-08-22,159,2.2083,3.3666,0.5611,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004,Eisenia arborea,Southern Sea Palm (Adult),2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004.5,Eisenia arborea,Southern Sea Palm (Juvenile),2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,2,0.0278,0.1162,0.0194,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Pterygophora californica,California Sea Palm (Adult),2008,2008-09-29,0.2917,0.1438,0.4981,7,12,24,33.18,2008-08-22,78,1.0833,2.0231,0.3372,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005.5,Pterygophora californica,California Sea Palm (Juvenile),2008,2008-09-29,1.4167,0.6681,2.3143,34,12,24,33.18,2008-08-22,236,3.2778,15.1169,2.5195,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Laminaria farlowii,Oar Weed (Adult),2008,2008-09-29,0.2917,0.0965,0.3343,7,12,24,33.18,2008-08-22,16,0.2222,0.3473,0.0579,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006.5,Laminaria farlowii,Oar Weed (Juvenile),2008,2008-09-29,0.3333,0.1124,0.3892,8,12,24,33.18,2008-08-22,13,0.1806,0.3808,0.0635,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9005,Cypraea spadicea,Chestnut Cowrie,2008,2008-09-29,0.0833,0.0562,0.1946,2,12,24,33.18,2008-08-22,12,0.1667,0.3162,0.0527,36,72
