Species,ScientificName,CommonName,AlternateTaxonName,SpeciesName,Life_Stage,Sex
14027,Alloclinus holderi,Island Kelpfish,Alloclinus holderi,island kelpfish,NA,NA
14026,Coryphopterus nicholsi,Blackeye Goby,Coryphopterus nicholsi,blackeye goby,NA,NA
14025,Lythrypnus dalli,Blue-banded Goby,Lythrypnus dalli,blue-banded goby,NA,NA
12002,Styela montereyensis,Stalked Tunicate,Styela montereyensis,Styela montereyensis,NA,NA
11009,Centrostephanus coronatus,Coronado Urchin,Centrostephanus coronatus,Centrostephanus coronatus,NA,NA
11007,Parastichopus parvimensis,Warty Sea Cucumber,Parastichopus parvimensis,Parastichopus parvimensis,NA,NA
11006,Strongylocentrotus purpuratus,Purple Urchin,Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,NA,NA
11005,Strongylocentrotus franciscanus,Red Urchin,Strongylocentrotus franciscanus,Strongylocentrotus franciscanus,NA,NA
11002,Pisaster giganteus,Giant-spined Sea Star,Pisaster giganteus,Pisaster giganteus,NA,NA
11001,Patiria miniata,Bat Star,Patiria miniata,Patiria miniata,NA,NA
9014,Tegula regina,Queen Tegula,Tegula regina,Tegula regina,NA,NA
9008,Lithopoma gibberosa,Red Turban Snail,Lithopoma gibberosa,Lithopoma gibberosa,NA,NA
9007,Megastraea undosa,Wavy Turban Snail,Megastraea undosa,Megastraea undosa,NA,NA
9005,Cypraea spadicea,Chestnut Cowrie,Cypraea spadicea,Cypraea spadicea,NA,NA
2016.5,Sargassum horneri,Devil Weed (Juvenile),"Sargassum horneri, juvenile",Sargassum horneri juvenile (<0.5m tall),Juvenile,NA
2016,Sargassum horneri,Devil Weed (Adult),"Sargassum horneri, adult",Sargassum horneri adult (>0.5m tall),Adult,NA
2006.5,Laminaria farlowii,Oar Weed (Juvenile),"Laminaria farlowii, juvenile",Laminaria farlowii juvenile,Juvenile,NA
2006,Laminaria farlowii,Oar Weed (Adult),"Laminaria farlowii, adult",Laminaria farlowii adult,Adult,NA
2005.5,Pterygophora californica,California Sea Palm (Juvenile),"Pterygophora californica, juvenile",Pterygophora juvenile,Juvenile,NA
2005,Pterygophora californica,California Sea Palm (Adult),"Pterygophora californica, adult",Pterygophora adult,Adult,NA
2004.5,Eisenia arborea,Southern Sea Palm (Juvenile),"Eisenia arborea, juvenile",Eisenia arborea juvenile,Juvenile,NA
2004,Eisenia arborea,Southern Sea Palm (Adult),"Eisenia arborea, adult",Eisenia arborea adult,Adult,NA
2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),"Macrocystis pyrifera, juvenile",Macrocystis pyrifera juvenile (<1m tall),Juvenile,NA
2002,Macrocystis pyrifera,Giant Kelp (Adult),"Macrocystis pyrifera, adult",Macrocystis pyrifera adult (>1m tall),Adult,NA
2009.5,Undaria pinnatifida,Wakame (Juvenile),"Undaria pinnatifida, juvenile",Undaria pinnatifida juvenile,Juvenile,NA
2009,Undaria pinnatifida,Wakame (Adult),"Undaria pinnatifida, adult",Undaria pinnatifida adult,Adult,NA
