SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,TotalCount,MeanDensity_sqm,StandardDeviation,StandardError,QuadratsSampled,AreaSurveyed_sqm,MeanDepth,IslandDate,Island_Mean_Density,IslandSD,IslandSE,IslandQuads,IslandAreaSurveyed,IslandTotalCount,SurveyType
1,SM,San Miguel Island,WL,Wyckoff Ledge,2010,Macrocystis pyrifera,NA,1982,1982-08-19,44,1.4667,1.8144,0.3313,30,30,43.27,1982-08-19,0.95,1.5006,0.1937,60,60,57,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2012,Eisenia arborea,NA,1982,1982-08-19,0,0,0,0,30,30,43.27,1982-08-19,0.1,0.3992,0.0515,60,60,6,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2013,Pterygophora californica,NA,1982,1982-08-19,8,0.2667,0.6915,0.1262,30,30,43.27,1982-08-19,0.1333,0.5031,0.0649,60,60,8,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2014,Laminaria farlowii,NA,1982,1982-08-19,0,0,0,0,30,30,43.27,1982-08-19,0,0,0,60,60,0,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,9005,Cypraea spadicea,Chestnut Cowrie,1982,1982-08-19,0,0,0,0,30,30,43.27,1982-08-19,0,0,0,30,30,0,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,9007,Megastraea undosa,Wavy Turban Snail,1982,1982-08-19,0,0,0,0,30,30,43.27,1982-08-19,0,0,0,60,60,0,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1982,1982-08-19,48,1.6,2.2834,0.4169,30,30,43.27,1982-08-19,5.0167,5.5708,0.7192,60,60,301,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1982,1982-08-19,7,0.2333,0.504,0.092,30,30,43.27,1982-08-19,0.2,0.6325,0.0816,60,60,12,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1982,1982-08-19,17,0.5667,2.3442,0.428,30,30,43.27,1982-08-19,4.3333,10.3689,1.3386,60,60,260,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1982,1982-08-19,3,0.1,0.5477,0.1,30,30,43.27,1982-08-19,5.5167,14.7975,1.9103,60,60,331,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,11007,Parastichopus parvimensis,Warty Sea Cucumber,1982,1982-08-19,1,0.0333,0.1826,0.0333,30,30,43.27,1982-08-19,0.0333,0.181,0.0234,60,60,2,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,12002,Styela montereyensis,Stalked Tunicate,1982,1982-08-19,4,0.1333,0.3457,0.0631,30,30,43.27,1982-08-19,0.3167,0.5964,0.077,60,60,19,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002,Macrocystis pyrifera,Giant Kelp (Adult),1983,1983-07-26,14,0.35,0.6222,0.0984,40,40,43.27,1983-07-26,0.2,0.5131,0.0574,80,80,16,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),1983,1983-07-26,43,1.075,3.7716,0.5963,40,40,43.27,1983-07-26,0.55,2.7044,0.3024,80,80,44,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2010,Macrocystis pyrifera,NA,1983,1983-07-26,57,1.425,3.7614,0.5947,40,40,43.27,1983-07-26,0.75,2.749,0.3073,80,80,60,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2012,Eisenia arborea,NA,1983,1983-07-26,0,0,0,0,40,40,43.27,1983-07-26,0.025,0.1571,0.0176,80,80,2,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2013,Pterygophora californica,NA,1983,1983-07-26,3,0.075,0.2667,0.0422,40,40,43.27,1983-07-26,0.0375,0.1912,0.0214,80,80,3,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,2014,Laminaria farlowii,NA,1983,1983-07-26,0,0,0,0,40,40,43.27,1983-07-26,0,0,0,80,80,0,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,9005,Cypraea spadicea,Chestnut Cowrie,1983,1983-07-26,0,0,0,0,40,40,43.27,1983-07-26,0.2375,0.698,0.078,80,80,19,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,9007,Megastraea undosa,Wavy Turban Snail,1983,1983-07-26,0,0,0,0,40,40,43.27,1983-07-26,0.05,0.271,0.0303,80,80,4,One_Meter
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1983,1983-07-26,58,1.45,1.2598,0.1992,40,40,43.27,1983-07-26,3.7875,3.8507,0.4305,80,80,303,One_Meter
